epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8503,1.97581,2.84636,2.40131,0.00333,1,0.16142,0.03297,1.77245,4.01461,2.68787,4e-05,4e-05,4e-05
2,26.5757,1.71844,2.83599,2.20395,0.00333,1,0.26066,0.07245,1.60475,3.8977,2.44895,9.802e-05,9.802e-05,9.802e-05
3,38.0593,1.51983,2.56544,1.99305,0.00333,1,0.41275,0.12279,1.46086,3.82077,2.35298,0.000153664,0.000153664,0.000153664
4,49.4001,1.54567,2.40819,1.9517,0.00333,1,0.4771,0.17094,1.39472,3.57926,2.24812,0.000206932,0.000206932,0.000206932
5,60.8256,1.38781,2.17664,1.77906,0.00333,1,0.44805,0.18291,1.49533,3.47507,2.37858,0.000257824,0.000257824,0.000257824
6,72.3126,1.4497,1.99669,1.77318,0.00333,1,0.50387,0.19924,1.40965,3.49628,2.21707,0.00030634,0.00030634,0.00030634
7,83.6604,1.41346,2.00693,1.72762,0.00333,1,0.59339,0.23823,1.32987,3.42761,2.09512,0.00035248,0.00035248,0.00035248
8,95.0749,1.28172,1.8761,1.64582,0.00333,1,0.50668,0.2342,1.25794,3.43103,2.01385,0.000396244,0.000396244,0.000396244
9,106.31,1.31639,1.96377,1.60286,0.00333,1,0.66695,0.25819,1.33591,3.37101,2.20488,0.000437632,0.000437632,0.000437632
10,117.572,1.23704,1.80068,1.53958,0.00333,1,0.57286,0.2228,1.45456,3.45752,2.27631,0.000476644,0.000476644,0.000476644
11,128.915,1.30465,1.79229,1.56361,0.00333,1,0.63588,0.21928,1.51453,3.28101,2.31586,0.00051328,0.00051328,0.00051328
12,140.06,1.30373,1.73193,1.57053,0.00333,1,0.56919,0.2038,1.49859,3.27715,2.36042,0.00054754,0.00054754,0.00054754
13,151.236,1.22269,1.68775,1.53554,0.00871,1,0.29364,0.08917,1.57831,3.5568,2.5116,0.000579424,0.000579424,0.000579424
14,162.442,1.29181,1.73115,1.63322,0.00333,1,0.28793,0.07971,1.70167,3.60776,2.58283,0.000608932,0.000608932,0.000608932
15,173.699,1.25164,1.57215,1.54196,0.06006,0.53846,0.08983,0.03039,1.99125,3.87992,2.65401,0.000636064,0.000636064,0.000636064
16,184.852,1.21128,1.61134,1.55574,0.02143,0.46154,0.05597,0.02061,2.39701,4.39009,3.08512,0.00066082,0.00066082,0.00066082
17,196.453,1.15119,1.57025,1.50899,0.66804,0.38462,0.47046,0.12525,2.42129,3.58274,3.21956,0.0006832,0.0006832,0.0006832
18,208.157,1.24319,1.58792,1.53487,0.72077,0.39858,0.55845,0.15061,2.38935,3.45956,3.30171,0.000703204,0.000703204,0.000703204
19,219.749,1.14341,1.45516,1.47991,0.48268,0.38462,0.40902,0.12221,2.49218,3.35049,3.13573,0.000720832,0.000720832,0.000720832
20,231.374,1.06229,1.50044,1.44502,0.32554,0.40942,0.35026,0.14324,2.15713,3.21494,2.84633,0.000736084,0.000736084,0.000736084
21,243.032,1.09871,1.45244,1.45184,0.46747,0.53846,0.5142,0.2214,1.89629,3.07228,2.73675,0.00074896,0.00074896,0.00074896
22,254.454,1.00317,1.31159,1.32138,0.55975,0.46154,0.5207,0.22876,2.07666,3.15868,3.0031,0.00075946,0.00075946,0.00075946
23,266.084,1.04682,1.30734,1.37831,0.58224,0.46154,0.46133,0.12375,2.11885,3.20904,3.11558,0.000767584,0.000767584,0.000767584
24,277.396,1.06839,1.39631,1.42225,0.37564,0.64877,0.39412,0.13112,1.93351,3.43648,2.84345,0.000773332,0.000773332,0.000773332
25,288.876,0.99256,1.23442,1.30002,0.47695,0.69231,0.47935,0.15016,1.81903,3.15709,2.8089,0.000776704,0.000776704,0.000776704
26,300.206,1.02878,1.23034,1.40463,0.49788,0.92308,0.58856,0.16475,2.00466,2.94565,3.11223,0.0007777,0.0007777,0.0007777
27,311.45,1.06006,1.42512,1.37255,0.55025,0.69231,0.61839,0.18507,2.05607,2.97668,3.29811,0.00077632,0.00077632,0.00077632
28,322.875,1.04467,1.38136,1.41486,0.52499,0.46154,0.47032,0.16009,1.98599,2.95673,3.1749,0.000772564,0.000772564,0.000772564
29,333.977,0.98792,1.2077,1.3484,0.52499,0.46154,0.47032,0.16009,1.98599,2.95673,3.1749,0.000766432,0.000766432,0.000766432
30,345.446,1.10475,1.33565,1.42609,0.35621,0.53846,0.34302,0.11536,2.01522,3.06874,3.13717,0.000757924,0.000757924,0.000757924
31,356.722,0.85866,1.13283,1.22428,0.43388,0.59052,0.44201,0.15507,2.02994,3.00467,3.14613,0.00074704,0.00074704,0.00074704
32,367.863,0.91446,1.14238,1.28486,0.74887,0.30769,0.51757,0.15315,2.05392,2.94987,3.03704,0.00073378,0.00073378,0.00073378
33,378.995,0.96204,1.30072,1.33342,0.74887,0.30769,0.51757,0.15315,2.05392,2.94987,3.03704,0.000718144,0.000718144,0.000718144
34,390.245,0.87188,1.14,1.28106,0.49115,0.61538,0.62298,0.18637,2.15428,2.80388,3.18307,0.0006932,0.0006932,0.0006932
35,401.48,1.00185,1.06472,1.31611,0.55748,0.67908,0.6666,0.18937,2.1169,2.99853,3.23828,0.0006536,0.0006536,0.0006536
36,412.625,0.86808,1.07743,1.26281,0.56303,0.61538,0.64918,0.19516,2.0811,2.99155,3.22656,0.000614,0.000614,0.000614
37,423.896,0.90803,1.14452,1.29047,0.56303,0.61538,0.64918,0.19516,2.0811,2.99155,3.22656,0.0005744,0.0005744,0.0005744
38,435.121,0.85926,1.04463,1.25524,0.58343,0.76923,0.77909,0.25549,1.92494,2.83732,2.99322,0.0005348,0.0005348,0.0005348
39,446.684,0.94362,1.07315,1.31169,0.86123,0.61538,0.81267,0.26939,1.84666,2.69313,2.90531,0.0004952,0.0004952,0.0004952
40,458.13,0.90225,1.09296,1.2838,0.61307,0.61538,0.62234,0.27078,1.67199,2.85809,2.57346,0.0004556,0.0004556,0.0004556
41,469.362,0.84359,1.72147,1.35738,0.61307,0.61538,0.62234,0.27078,1.67199,2.85809,2.57346,0.000416,0.000416,0.000416
42,480.598,0.79239,1.61462,1.32397,0.57392,0.69231,0.56991,0.36163,1.57677,2.53482,2.31117,0.0003764,0.0003764,0.0003764
43,491.7,0.83651,1.47571,1.34084,0.64072,0.68631,0.59947,0.32828,1.60525,2.29331,2.34548,0.0003368,0.0003368,0.0003368
44,502.825,0.76041,1.38233,1.25183,0.64354,0.76923,0.62753,0.29725,1.70881,2.2722,2.49219,0.0002972,0.0002972,0.0002972
45,513.921,0.67322,1.30306,1.20643,0.64354,0.76923,0.62753,0.29725,1.70881,2.2722,2.49219,0.0002576,0.0002576,0.0002576
46,525.08,0.72235,1.32814,1.26411,0.64475,0.76923,0.61574,0.32349,1.77165,2.18751,2.62506,0.000218,0.000218,0.000218
47,536.172,0.66177,1.31551,1.2762,0.70846,0.84615,0.72869,0.36729,1.70078,2.11819,2.54302,0.0001784,0.0001784,0.0001784
48,547.612,0.68542,1.27799,1.20703,0.85389,0.90031,0.83907,0.39324,1.66772,2.26147,2.49702,0.0001388,0.0001388,0.0001388
49,558.729,0.63724,1.25781,1.18181,0.85389,0.90031,0.83907,0.39324,1.66772,2.26147,2.49702,9.92e-05,9.92e-05,9.92e-05
50,569.881,0.68827,1.28392,1.21786,0.74106,0.92308,0.78867,0.37556,1.67144,2.27775,2.52989,5.96e-05,5.96e-05,5.96e-05
